CustomerID,Segment,JoinYear
1,E-ticarət,2023
2,Fərdi,2024
3,Korporativ,2024
4,Korporativ,2024
5,Korporativ,2025
6,Korporativ,2023
7,Pərakəndə (Retail),2023
8,E-ticarət,2025
9,E-ticarət,2024
10,Korporativ,2023
11,Fərdi,2024
12,Korporativ,2024
13,E-ticarət,2024
14,Pərakəndə (Retail),2024
15,Pərakəndə (Retail),2023
16,E-ticarət,2024
17,E-ticarət,2024
18,Korporativ,2024
19,Korporativ,2024
20,E-ticarət,2024
21,E-ticarət,2022
22,E-ticarət,2024
23,E-ticarət,2024
24,Fərdi,2024
25,Fərdi,2024
26,E-ticarət,2024
27,Fərdi,2023
28,Pərakəndə (Retail),2024
29,Korporativ,2022
30,Korporativ,2023
31,E-ticarət,2024
32,E-ticarət,2024
33,Pərakəndə (Retail),2023
34,Korporativ,2022
35,E-ticarət,2024
36,Fərdi,2022
37,Pərakəndə (Retail),2023
38,E-ticarət,2022
39,Fərdi,2023
40,Fərdi,2023
41,Fərdi,2023
42,E-ticarət,2023
43,Pərakəndə (Retail),2025
44,Korporativ,2024
45,Pərakəndə (Retail),2024
46,Fərdi,2022
47,Pərakəndə (Retail),2023
48,Fərdi,2024
49,Fərdi,2022
50,Fərdi,2023
51,Korporativ,2024
52,E-ticarət,2024
53,E-ticarət,2022
54,Fərdi,2023
55,E-ticarət,2024
56,Korporativ,2022
57,E-ticarət,2024
58,Korporativ,2024
59,Fərdi,2025
60,Fərdi,2023
61,E-ticarət,2024
62,Fərdi,2024
63,Korporativ,2023
64,E-ticarət,2022
65,Pərakəndə (Retail),2024
66,Korporativ,2023
67,E-ticarət,2023
68,Pərakəndə (Retail),2022
69,E-ticarət,2024
70,E-ticarət,2024
71,Korporativ,2024
72,E-ticarət,2023
73,E-ticarət,2023
74,Korporativ,2024
75,Pərakəndə (Retail),2023
76,Pərakəndə (Retail),2023
77,Fərdi,2024
78,Pərakəndə (Retail),2025
79,Pərakəndə (Retail),2024
80,E-ticarət,2024
81,E-ticarət,2025
82,Korporativ,2023
83,E-ticarət,2024
84,Korporativ,2025
85,Korporativ,2023
86,Pərakəndə (Retail),2024
87,Fərdi,2024
88,Korporativ,2024
89,E-ticarət,2024
90,E-ticarət,2025
91,Fərdi,2024
92,Fərdi,2022
93,E-ticarət,2025
94,Pərakəndə (Retail),2023
95,E-ticarət,2023
96,E-ticarət,2023
97,E-ticarət,2023
98,E-ticarət,2023
99,Fərdi,2025
100,Pərakəndə (Retail),2024
101,E-ticarət,2024
102,Pərakəndə (Retail),2022
103,Fərdi,2025
104,Fərdi,2025
105,E-ticarət,2024
106,E-ticarət,2022
107,E-ticarət,2022
108,E-ticarət,2023
109,E-ticarət,2022
110,Pərakəndə (Retail),2023
111,E-ticarət,2025
112,E-ticarət,2023
113,E-ticarət,2022
114,E-ticarət,2023
115,E-ticarət,2022
116,Korporativ,2022
117,E-ticarət,2023
118,E-ticarət,2023
119,E-ticarət,2024
120,Pərakəndə (Retail),2025
121,E-ticarət,2023
122,E-ticarət,2023
123,E-ticarət,2024
124,Fərdi,2023
125,E-ticarət,2023
126,Korporativ,2025
127,Fərdi,2022
128,E-ticarət,2024
129,Fərdi,2024
130,Korporativ,2023
131,E-ticarət,2023
132,E-ticarət,2024
133,Pərakəndə (Retail),2022
134,Korporativ,2023
135,Fərdi,2024
136,E-ticarət,2024
137,Pərakəndə (Retail),2022
138,E-ticarət,2025
139,Fərdi,2023
140,Korporativ,2024
141,E-ticarət,2024
142,E-ticarət,2024
143,E-ticarət,2023
144,E-ticarət,2025
145,E-ticarət,2022
146,Pərakəndə (Retail),2024
147,Korporativ,2023
148,Pərakəndə (Retail),2023
149,Fərdi,2023
150,Korporativ,2025
151,Pərakəndə (Retail),2025
152,Pərakəndə (Retail),2023
153,E-ticarət,2022
154,E-ticarət,2024
155,E-ticarət,2023
156,E-ticarət,2022
157,E-ticarət,2024
158,E-ticarət,2024
159,Fərdi,2025
160,Pərakəndə (Retail),2023
161,E-ticarət,2023
162,E-ticarət,2024
163,E-ticarət,2024
164,Korporativ,2024
165,Korporativ,2024
166,Fərdi,2023
167,E-ticarət,2024
168,Pərakəndə (Retail),2023
169,Fərdi,2022
170,E-ticarət,2024
171,Pərakəndə (Retail),2023
172,Korporativ,2022
173,Korporativ,2025
174,Korporativ,2023
175,Pərakəndə (Retail),2024
176,Pərakəndə (Retail),2023
177,Pərakəndə (Retail),2024
178,Fərdi,2022
179,Pərakəndə (Retail),2023
180,Fərdi,2025
181,Pərakəndə (Retail),2024
182,Pərakəndə (Retail),2023
183,Korporativ,2023
184,E-ticarət,2025
185,Pərakəndə (Retail),2024
186,Korporativ,2024
187,Korporativ,2024
188,Fərdi,2022
189,E-ticarət,2022
190,Korporativ,2024
191,Pərakəndə (Retail),2023
192,Pərakəndə (Retail),2023
193,Korporativ,2025
194,Fərdi,2024
195,Pərakəndə (Retail),2024
196,E-ticarət,2024
197,E-ticarət,2024
198,Pərakəndə (Retail),2022
199,E-ticarət,2023
200,E-ticarət,2023
201,Korporativ,2023
202,E-ticarət,2024
203,Korporativ,2023
204,Korporativ,2023
205,Korporativ,2023
206,E-ticarət,2022
207,Pərakəndə (Retail),2023
208,E-ticarət,2023
209,Pərakəndə (Retail),2023
210,E-ticarət,2022
211,Fərdi,2023
212,Korporativ,2024
213,Fərdi,2023
214,Pərakəndə (Retail),2023
215,E-ticarət,2024
216,Fərdi,2023
217,E-ticarət,2025
218,E-ticarət,2024
219,E-ticarət,2023
220,Korporativ,2024
221,Korporativ,2023
222,E-ticarət,2024
223,Fərdi,2023
224,E-ticarət,2025
225,E-ticarət,2023
226,E-ticarət,2024
227,E-ticarət,2024
228,Korporativ,2022
229,Pərakəndə (Retail),2023
230,Korporativ,2024
231,E-ticarət,2024
232,E-ticarət,2023
233,E-ticarət,2024
234,Fərdi,2025
235,E-ticarət,2025
236,Korporativ,2022
237,Fərdi,2024
238,Korporativ,2023
239,Fərdi,2025
240,E-ticarət,2023
241,Pərakəndə (Retail),2022
242,Korporativ,2024
243,Pərakəndə (Retail),2023
244,E-ticarət,2025
245,E-ticarət,2025
246,E-ticarət,2024
247,Pərakəndə (Retail),2022
248,Fərdi,2024
249,Pərakəndə (Retail),2022
250,E-ticarət,2022
251,Fərdi,2024
252,E-ticarət,2023
253,E-ticarət,2023
254,E-ticarət,2025
255,Pərakəndə (Retail),2023
256,E-ticarət,2023
257,Korporativ,2025
258,Fərdi,2022
259,E-ticarət,2024
260,Korporativ,2025
261,E-ticarət,2025
262,E-ticarət,2024
263,Korporativ,2023
264,E-ticarət,2023
265,Pərakəndə (Retail),2024
266,Korporativ,2025
267,Korporativ,2024
268,Pərakəndə (Retail),2023
269,Korporativ,2022
270,Korporativ,2022
271,Korporativ,2024
272,E-ticarət,2023
273,E-ticarət,2025
274,Fərdi,2024
275,Pərakəndə (Retail),2023
276,E-ticarət,2024
277,Korporativ,2023
278,E-ticarət,2024
279,Fərdi,2024
280,E-ticarət,2024
281,E-ticarət,2024
282,E-ticarət,2023
283,Korporativ,2022
284,Fərdi,2024
285,E-ticarət,2022
286,Pərakəndə (Retail),2023
287,E-ticarət,2022
288,Fərdi,2024
289,E-ticarət,2023
290,E-ticarət,2024
291,Pərakəndə (Retail),2025
292,Fərdi,2022
293,Fərdi,2022
294,Korporativ,2023
295,Fərdi,2025
296,E-ticarət,2023
297,Fərdi,2023
298,Korporativ,2022
299,Pərakəndə (Retail),2024
300,Fərdi,2023
301,Pərakəndə (Retail),2024
302,Korporativ,2025
303,Korporativ,2023
304,Fərdi,2024
305,E-ticarət,2022
306,Fərdi,2025
307,Pərakəndə (Retail),2024
308,E-ticarət,2025
309,Pərakəndə (Retail),2022
310,Korporativ,2023
311,Pərakəndə (Retail),2023
312,Pərakəndə (Retail),2023
313,E-ticarət,2023
314,Korporativ,2023
315,Fərdi,2022
316,E-ticarət,2023
317,Korporativ,2024
318,E-ticarət,2023
319,Korporativ,2022
320,Korporativ,2023
321,Korporativ,2022
322,E-ticarət,2025
323,Pərakəndə (Retail),2022
324,E-ticarət,2024
325,E-ticarət,2025
326,E-ticarət,2024
327,E-ticarət,2024
328,Korporativ,2024
329,Pərakəndə (Retail),2025
330,Pərakəndə (Retail),2024
331,E-ticarət,2024
332,Fərdi,2024
333,Pərakəndə (Retail),2024
334,E-ticarət,2024
335,Fərdi,2023
336,Fərdi,2023
337,E-ticarət,2022
338,E-ticarət,2022
339,Fərdi,2023
340,Pərakəndə (Retail),2022
341,E-ticarət,2024
342,Pərakəndə (Retail),2023
343,Fərdi,2024
344,Pərakəndə (Retail),2022
345,Pərakəndə (Retail),2023
346,Fərdi,2024
347,E-ticarət,2024
348,E-ticarət,2022
349,Pərakəndə (Retail),2025
350,Fərdi,2025
351,E-ticarət,2023
352,Korporativ,2023
353,Pərakəndə (Retail),2025
354,Korporativ,2024
355,Pərakəndə (Retail),2024
356,Fərdi,2024
357,Pərakəndə (Retail),2023
358,Korporativ,2023
359,Korporativ,2023
360,Korporativ,2024
361,E-ticarət,2024
362,E-ticarət,2024
363,Korporativ,2023
364,E-ticarət,2023
365,E-ticarət,2023
366,Korporativ,2024
367,Korporativ,2024
368,E-ticarət,2022
369,Pərakəndə (Retail),2025
370,Pərakəndə (Retail),2022
371,E-ticarət,2025
372,Fərdi,2022
373,Korporativ,2024
374,Pərakəndə (Retail),2022
375,Korporativ,2025
376,Fərdi,2023
377,Pərakəndə (Retail),2022
378,Pərakəndə (Retail),2023
379,Pərakəndə (Retail),2023
380,E-ticarət,2023
381,E-ticarət,2025
382,Pərakəndə (Retail),2023
383,Korporativ,2024
384,Pərakəndə (Retail),2024
385,E-ticarət,2024
386,Korporativ,2022
387,E-ticarət,2023
388,Korporativ,2024
389,Pərakəndə (Retail),2025
390,Korporativ,2023
391,Korporativ,2023
392,Korporativ,2023
393,E-ticarət,2025
394,Pərakəndə (Retail),2023
395,E-ticarət,2023
396,Korporativ,2025
397,Korporativ,2022
398,Pərakəndə (Retail),2022
399,Korporativ,2024
400,Fərdi,2025
401,Fərdi,2023
402,E-ticarət,2023
403,E-ticarət,2023
404,Korporativ,2023
405,E-ticarət,2024
406,Pərakəndə (Retail),2023
407,Fərdi,2023
408,E-ticarət,2023
409,E-ticarət,2024
410,E-ticarət,2024
411,Pərakəndə (Retail),2025
412,Korporativ,2022
413,E-ticarət,2024
414,Fərdi,2024
415,Pərakəndə (Retail),2023
416,E-ticarət,2023
417,Pərakəndə (Retail),2023
418,Pərakəndə (Retail),2023
419,E-ticarət,2023
420,E-ticarət,2022
421,E-ticarət,2023
422,E-ticarət,2024
423,Fərdi,2023
424,Fərdi,2024
425,E-ticarət,2024
426,E-ticarət,2025
427,E-ticarət,2024
428,E-ticarət,2022
429,Fərdi,2024
430,E-ticarət,2022
431,E-ticarət,2023
432,E-ticarət,2025
433,Pərakəndə (Retail),2023
434,E-ticarət,2023
435,Pərakəndə (Retail),2024
436,E-ticarət,2025
437,Pərakəndə (Retail),2024
438,Pərakəndə (Retail),2023
439,E-ticarət,2024
440,E-ticarət,2023
441,Fərdi,2024
442,Fərdi,2025
443,Korporativ,2024
444,Korporativ,2025
445,Fərdi,2022
446,Korporativ,2024
447,E-ticarət,2024
448,Fərdi,2022
449,E-ticarət,2025
450,Korporativ,2023
451,E-ticarət,2024
452,E-ticarət,2024
453,E-ticarət,2024
454,Pərakəndə (Retail),2022
455,E-ticarət,2024
456,E-ticarət,2024
457,E-ticarət,2025
458,Korporativ,2023
459,Fərdi,2023
460,Korporativ,2024
461,Korporativ,2023
462,Fərdi,2024
463,Korporativ,2024
464,E-ticarət,2025
465,E-ticarət,2024
466,E-ticarət,2024
467,E-ticarət,2022
468,Korporativ,2022
469,Pərakəndə (Retail),2023
470,E-ticarət,2023
471,Korporativ,2024
472,Pərakəndə (Retail),2024
473,E-ticarət,2024
474,Fərdi,2024
475,Korporativ,2025
476,E-ticarət,2024
477,Pərakəndə (Retail),2024
478,Korporativ,2024
479,Korporativ,2023
480,Korporativ,2022
481,Korporativ,2023
482,Pərakəndə (Retail),2025
483,E-ticarət,2024
484,E-ticarət,2023
485,E-ticarət,2023
486,Pərakəndə (Retail),2024
487,E-ticarət,2022
488,Fərdi,2023
489,Korporativ,2025
490,Pərakəndə (Retail),2023
491,Fərdi,2022
492,Fərdi,2024
493,Fərdi,2025
494,E-ticarət,2024
495,Korporativ,2023
496,E-ticarət,2023
497,E-ticarət,2023
498,Korporativ,2024
499,Korporativ,2024
500,E-ticarət,2022
501,Korporativ,2025
502,Fərdi,2022
503,Korporativ,2023
504,Pərakəndə (Retail),2022
505,Pərakəndə (Retail),2023
506,Fərdi,2024
507,Pərakəndə (Retail),2024
508,Pərakəndə (Retail),2023
509,Fərdi,2024
510,Fərdi,2022
511,E-ticarət,2024
512,E-ticarət,2025
513,E-ticarət,2023
514,E-ticarət,2024
515,Pərakəndə (Retail),2023
516,Pərakəndə (Retail),2022
517,Fərdi,2023
518,E-ticarət,2024
519,Fərdi,2024
520,Pərakəndə (Retail),2022
521,Pərakəndə (Retail),2024
522,Fərdi,2024
523,Pərakəndə (Retail),2024
524,E-ticarət,2024
525,Fərdi,2024
526,E-ticarət,2022
527,E-ticarət,2023
528,Fərdi,2025
529,E-ticarət,2023
530,Pərakəndə (Retail),2025
531,E-ticarət,2024
532,Fərdi,2022
533,E-ticarət,2022
534,Fərdi,2023
535,Pərakəndə (Retail),2025
536,E-ticarət,2023
537,Korporativ,2023
538,Fərdi,2023
539,Korporativ,2022
540,E-ticarət,2023
541,Korporativ,2022
542,Korporativ,2024
543,Pərakəndə (Retail),2023
544,Pərakəndə (Retail),2023
545,E-ticarət,2023
546,E-ticarət,2023
547,Pərakəndə (Retail),2025
548,Korporativ,2024
549,E-ticarət,2022
550,Fərdi,2024
551,Pərakəndə (Retail),2023
552,Pərakəndə (Retail),2022
553,Fərdi,2025
554,Korporativ,2024
555,Pərakəndə (Retail),2025
556,Korporativ,2023
557,E-ticarət,2024
558,E-ticarət,2023
559,Korporativ,2023
560,Pərakəndə (Retail),2024
561,E-ticarət,2023
562,E-ticarət,2024
563,E-ticarət,2024
564,E-ticarət,2023
565,Pərakəndə (Retail),2024
566,E-ticarət,2024
567,Pərakəndə (Retail),2023
568,Korporativ,2024
569,Korporativ,2024
570,Fərdi,2023
571,E-ticarət,2024
572,Pərakəndə (Retail),2025
573,Korporativ,2023
574,E-ticarət,2024
575,Fərdi,2023
576,E-ticarət,2024
577,E-ticarət,2024
578,Pərakəndə (Retail),2023
579,E-ticarət,2023
580,Fərdi,2024
581,Korporativ,2023
582,Fərdi,2024
583,Pərakəndə (Retail),2022
584,Pərakəndə (Retail),2025
585,Fərdi,2024
586,E-ticarət,2025
587,Fərdi,2022
588,E-ticarət,2024
589,Korporativ,2024
