DeliveryID,Date,HubID,VehicleID,DriverID,CustomerID,PackageCategory,DistanceKm,WeightKg,PromisedHours,ActualHours,Status,FailureReason,FuelCost,DeliveryCost,Revenue,CustomerRating
1,2025-06-11,2,25,24,1335,Elektronika,18.4,11.4,24,21.4,Uğursuz,Ünvan tapılmadı,2.39,15.34,4.43,
2,2024-02-09,2,22,19,1250,Elektronika,12.0,5.58,24,12.3,Vaxtında,,0.42,5.57,15.01,4.3
3,2024-08-30,6,56,79,163,Elektronika,7.8,21.67,24,29.3,Gecikmiş,,0.27,4.58,9.74,1.9
4,2024-11-05,1,6,17,881,Elektronika,8.3,28.37,4,2.5,Vaxtında,,0.29,4.96,12.74,4.5
5,2024-08-13,3,34,43,203,Elektronika,15.9,0.98,24,15.4,Vaxtında,,1.43,9.97,18.96,4.8
6,2024-05-31,1,9,12,1415,Elektronika,17.5,0.39,24,7.8,Vaxtında,,0.61,7.34,18.68,3.8
7,2025-04-07,1,6,8,826,Kosmetika,20.3,2.97,24,13.2,Vaxtında,,0.71,8.39,17.54,4.3
8,2023-04-30,4,42,47,844,Kosmetika,15.6,13.97,48,59.8,Gecikmiş,,3.43,18.78,36.98,3.6
9,2025-03-24,2,25,33,341,Geyim,29.0,5.83,24,19.3,Vaxtında,,3.77,23.12,46.42,5.0
10,2024-11-20,6,65,88,415,Mebel/İri həcmli,17.5,7.59,48,36.5,Vaxtında,,2.28,14.55,30.59,4.2
11,2024-11-18,3,34,40,809,Elektronika,16.3,5.69,24,22.6,Vaxtında,,1.47,10.34,19.69,5.0
12,2025-06-20,3,33,43,304,Kosmetika,6.6,6.58,24,17.3,Vaxtında,,1.45,8.66,17.69,5.0
13,2023-08-05,1,10,10,1252,Geyim,14.4,1.93,48,39.6,Vaxtında,,1.87,12.06,25.24,4.3
14,2023-02-25,6,63,74,1183,Qida,14.1,5.57,4,3.6,Vaxtında,,1.27,9.12,18.35,4.8
15,2024-01-01,1,2,1,172,Mebel/İri həcmli,4.5,6.18,24,3.5,Vaxtında,,0.16,2.96,7.5,4.2
16,2024-11-29,3,33,38,679,Elektronika,19.4,7.17,24,6.7,Vaxtında,,4.27,22.76,45.07,4.0
17,2024-05-18,2,18,27,222,Elektronika,13.2,1.32,24,19.9,Vaxtında,,1.19,8.5,19.24,5.0
18,2025-01-13,2,20,32,97,Elektronika,10.7,7.77,72,30.4,Vaxtında,,0.96,7.32,16.93,4.9
19,2025-02-05,4,40,49,422,Elektronika,8.4,11.35,4,2.7,Vaxtında,,0.76,6.16,14.33,5.0
20,2024-03-30,4,42,58,1284,Qida,11.2,16.84,48,50.4,Gecikmiş,,2.46,14.03,25.6,2.8
21,2023-04-14,1,9,3,47,Elektronika,7.3,9.51,4,3.2,Vaxtında,,0.26,4.04,9.48,3.7
22,2023-03-18,3,27,36,601,Qida,6.1,11.81,72,40.6,Vaxtında,,1.34,8.26,15.13,4.9
23,2023-08-18,5,47,59,495,Geyim,9.6,8.03,48,18.8,Vaxtında,,0.86,6.72,14.13,4.3
24,2023-09-15,2,16,29,941,Kosmetika,5.8,5.52,48,30.8,Uğursuz,Digər,0.2,3.4,1.24,
25,2023-09-21,1,9,1,1289,Geyim,13.4,10.29,24,10.4,Vaxtında,,0.47,6.2,15.59,5.0
26,2023-11-27,2,19,19,303,Elektronika,11.7,23.27,24,19.4,Vaxtında,,0.41,5.99,15.72,5.0
27,2023-07-01,1,9,12,349,Sənəd,9.4,8.82,24,24.2,Gecikmiş,,0.33,4.75,9.82,3.8
28,2025-06-11,1,11,3,370,Qida,9.4,15.69,72,52.6,Vaxtında,,0.33,4.96,13.27,5.0
29,2025-02-06,2,19,24,230,Qida,17.9,8.52,24,10.5,Vaxtında,,0.63,7.72,18.83,3.8
30,2024-07-03,3,35,37,853,Sənəd,15.1,13.44,72,59.0,Vaxtında,,1.36,9.91,20.12,5.0
31,2024-11-18,1,9,17,1478,Elektronika,21.2,6.23,72,54.7,Vaxtında,,0.74,8.81,20.47,4.2
32,2023-01-27,3,33,44,280,Elektronika,23.7,6.2,48,40.3,Vaxtında,,5.21,27.46,51.42,4.1
